method,bin,coverage,width,risk,rmse,cal_error
binning,1,1,1.6704687885462,0,0.143537793635089,0
binning2,1,1,0.46274335291428,0,0.00822221440130044,0
conditional,1,1,1.32036671480129,0,0.0307753352862273,0
isotonic,1,1,0.555682182375301,0,0.0456303028803741,0
marginal,1,1,0.496489137542587,0,0.0307753352862273,0
binning,2,1,1.6704687885462,0,0.0426439071682314,0.173037456703113
binning2,2,1,0.499015041434167,0,0.00693901971102418,0
conditional,2,1,0.3879233989944,0,0.00873078741462763,0
isotonic,2,1,0.841864855712836,0,0.143301743644791,0
marginal,2,1,0.496489137542587,0,0.00873078741462763,0
binning,3,1,1.6704687885462,1,0.00417147269583751,0.27269160623235
binning2,3,1,0.499015041434167,1,0.0454114541834181,0.182149620822872
conditional,3,1,0.400801343633422,1,0.0164995998445459,0.292170097506884
isotonic,3,1,0.642773572721002,1,0.0668795913759179,0.365357258944646
marginal,3,1,0.496489137542587,1,0.0164995998445459,0.292170097506884
binning,4,1,0.669061496408702,1,0.0201926413140061,0.315307206018261
binning2,4,1,0.669061496408702,1,0.0201926413140061,0.315307206018261
conditional,4,1,0.443297489592032,1,0.00742523711974785,0.334454396648044
isotonic,4,1,0.642773572721002,1,0.015858936727597,0.321877358094994
marginal,4,1,0.496489137542587,1,0.00742523711974785,0.334454396648044
binning,5,1,0.669061496408702,1,0.0267653757899384,0.36606388535846
binning2,5,1,0.669061496408702,1,0.0267653757899384,0.36606388535846
conditional,5,0,0.525761407156753,1,0.146760285316551,0.581464505018514
isotonic,5,1,0.642773572721002,1,0.0224316712035293,0.371976849554945
marginal,5,0,0.496489137542587,1,0.146760285316551,0.581464505018514
binning,marginal,1,1.2699058716912,0.6,0.068648569262683,0
binning2,marginal,1,0.559779285720004,0.6,0.0256985722548018,0.0776475851928597
conditional,marginal,0.8,0.61563007083558,0.6,0.0676598850107939,0.141414052892735
isotonic,marginal,1,0.665173551250229,0.6,0.0746258397102707,0.0863723406802
marginal,marginal,0.8,0.496489137542587,0.6,0.0676598850107939,0.141414052892735
