method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.95,0.310408358103419,0.6,0.0834020804777454,0.0278271293921717
binning2,1,0.96,0.523062341235592,0.6,0.120067605761784,0.0381777421277129
conditional,1,1,0.354859210338529,0.56,0.0849913000555724,0.0743009957752552
isotonic,1,0.98,0.247944023029138,0.56,0.0750611967741282,0.0410792056061915
marginal,1,1,0.425376525645785,0.56,0.0849913000555724,0.0737980578167732
binning,2,0.92,0.186771683858337,0.34,0.0548803886269411,0.0232804708896868
binning2,2,0.93,0.33611044354254,0.34,0.0969238335696004,0.0437793838138791
conditional,2,1,0.374164753595622,0.59,0.0215992042938782,0.0197812016357542
isotonic,2,1,0.152425271558271,0.4,0.0418315137096972,0.0390740640134821
marginal,2,1,0.425376525645785,0.68,0.0215992042938782,0.0199647367724037
binning,3,0.99,0.217447417704821,0.31,0.0476523807692325,0.0115846046008239
binning2,3,0.97,0.357726385615252,0.31,0.0955157271351387,0.0330733985665081
conditional,3,1,0.393445288297463,0.4,0.0119294779033668,0.00506722615837626
isotonic,3,1,0.208374154717174,0.31,0.0346634076318108,0.0284885281991371
marginal,3,1,0.425376525645785,0.44,0.0119294779033668,0.00641880873498891
binning,4,0.98,0.468663097967721,0.76,0.0344693095847689,0
binning2,4,0.95,0.467317272887862,0.76,0.0563709741407116,0.021115909017926
conditional,4,0.96,0.411960487635702,0.76,0.0213112030252715,0.0258373412451424
isotonic,4,0.96,0.410045780763006,0.76,0.0291695054655893,0.041947591686918
marginal,4,0.96,0.425376525645785,0.76,0.0213112030252715,0.0263011853559271
binning,5,1,0.710379317674049,0.42,0.0219298544193111,0
binning2,5,0.97,0.670103302300909,0.42,0.0227079068092253,0
conditional,5,0.86,0.419891319790226,0.42,0.0267604244089233,0.0381759925495431
isotonic,5,0.96,0.659118305676133,0.42,0.0190666912085099,0
marginal,5,0.88,0.425376525645785,0.42,0.0267604244089233,0.0374555754386665
binning,marginal,0.968,0.37873397506167,0.486,0.0527400517537462,0.0108881326385024
binning2,marginal,0.956,0.470863949116431,0.486,0.0855886083010798,0.0113982815521497
conditional,marginal,0.964,0.390864211931508,0.546,0.0424326450819224,0.0389488627892885
isotonic,marginal,0.98,0.335581507148744,0.49,0.0442719084562791,0.03034429641303
marginal,marginal,0.968,0.425376525645785,0.572,0.0424326450819224,0.0397762322200929
