method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.75,0.583799868102901,0.38,0.243366393941812,0.226775638044981
binning2,1,0.74,0.587843554817875,0.38,0.251739219989795,0.235606493810376
conditional,1,0.77,0.672936846209664,0.38,0.324678835428434,0.311419547965605
isotonic,1,0.74,0.570506488119349,0.38,0.243752688445589,0.226777989145387
marginal,1,0.65,0.685566458453731,0.38,0.324678835428434,0.312446225923282
binning,2,1,0.58542040211624,0.99,0.114496070915778,0.111579145140499
binning2,2,1,0.589817682999366,0.99,0.116527511111488,0.113895199975422
conditional,2,1,0.594951731588627,0.97,0.184629918321111,0.184235617369383
isotonic,2,1,0.571179315030146,0.99,0.114348038832852,0.112193920425942
marginal,2,0.99,0.685566458453731,0.99,0.184629918321111,0.183942044569668
binning,3,1,0.616554248815894,1,0.0878811155999769,0.0808491933236228
binning2,3,1,0.609124114725195,1,0.0876333655331722,0.0810873621623989
conditional,3,1,0.614084882090424,1,0.140997568401287,0.137582231401948
isotonic,3,1,0.604141334176752,1,0.0899743289312181,0.0824952005414423
marginal,3,1,0.685566458453731,1,0.140997568401287,0.137784997239041
binning,4,1,0.628566288673376,0.83,0.091812637876338,0.0850702432420911
binning2,4,1,0.623419086053992,0.83,0.0944013073470517,0.0883439042565319
conditional,4,1,0.590745296047671,0.83,0.082161907637335,0.0707457612080853
isotonic,4,1,0.624316300004281,0.83,0.0937441710954866,0.0867881997037364
marginal,4,1,0.685566458453731,0.83,0.082161907637335,0.0702746081068456
binning,5,0.94,0.655785912838757,0.42,0.165244189812467,0.152144913362886
binning2,5,0.93,0.655576469579304,0.42,0.166009625906749,0.152366521952916
conditional,5,0.95,0.583129566081626,0.42,0.086735338658527,0.069532485367933
isotonic,5,0.93,0.648628486156385,0.42,0.162160379058588,0.150702430514836
marginal,5,0.97,0.685566458453731,0.42,0.086735338658527,0.0705727915404256
binning,marginal,0.938,0.614025344109434,0.724,0.152180711770631,0.0213799963446028
binning2,marginal,0.934,0.613156181635146,0.724,0.155628856709873,0.0160027868041965
conditional,marginal,0.944,0.611169664403602,0.72,0.186364409289067,0.113169723973728
isotonic,marginal,0.934,0.603754384697383,0.724,0.152098773911429,0.0183159693827465
marginal,marginal,0.922,0.685566458453731,0.724,0.186364409289067,0.113278388790673
