method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.94,0.471478036080161,0.5,0.1162045537531,0.0477950125398859
binning2,1,0.95,0.533524576253874,0.48,0.138625757767548,0.0608119758245474
conditional,1,0.9,0.313181663291069,0.5,0.11966735296221,0.0968672910182145
isotonic,1,0.94,0.4168656574654,0.48,0.101147723139218,0.0562111372584889
marginal,1,0.89,0.391471621688607,0.5,0.11966735296221,0.0966283203527076
binning,2,0.99,0.331293893798355,0.51,0.0705490914746204,0.0564130330232842
binning2,2,0.98,0.433635407946973,0.77,0.0740719770553968,0.0585117264493734
conditional,2,1,0.337168202506525,0.51,0.0868097191832624,0.0784348270237373
isotonic,2,0.99,0.3782189770008,0.64,0.0612304799883851,0.0467748472300153
marginal,2,0.96,0.391471621688607,0.58,0.0868097191832624,0.0785000539995485
binning,3,0.99,0.307598427582581,0.36,0.0648032954468906,0.0463210608247036
binning2,3,1,0.364543998970203,0.49,0.0832791028974454,0.0672207058615644
conditional,3,1,0.336711825770379,0.49,0.0491406814615435,0.0269752270782645
isotonic,3,0.99,0.323272342195095,0.39,0.0610932081676697,0.0424593049493974
marginal,3,1,0.391471621688607,0.48,0.0491406814615435,0.0265708901657486
binning,4,0.98,0.375049933853888,0.73,0.054723387840354,0.047568867654235
binning2,4,0.97,0.448190976490549,0.85,0.0781014704479195,0.0713053081489012
conditional,4,0.99,0.312095898543591,0.73,0.0375830050736578,0.0165253276604024
isotonic,4,0.99,0.338010219890788,0.58,0.0535797393563679,0.0439385647073609
marginal,4,1,0.391471621688607,0.86,0.0375830050736578,0.016514121091022
binning,5,0.94,0.503228285276524,0.33,0.0626878575992933,0.044240378011373
binning2,5,0.93,0.533829274567465,0.33,0.0775208692758043,0.0504417120309088
conditional,5,0.83,0.315916854046752,0.33,0.0421252192745347,0.0266644869984561
isotonic,5,0.95,0.544118084852944,0.33,0.0553852820277279,0.0294677790356486
marginal,5,0.93,0.391471621688607,0.33,0.0421252192745347,0.0236381767098955
binning,marginal,0.968,0.397729715318302,0.486,0.0769474579030959,0.0143505180693087
binning2,marginal,0.966,0.462744846845813,0.584,0.0935398228994786,0.0131075179282848
conditional,marginal,0.944,0.323014888831663,0.512,0.0741053650601063,0.0418322999756442
isotonic,marginal,0.972,0.400097056281005,0.484,0.0687760591992029,0.0231389508405542
marginal,marginal,0.956,0.391471621688607,0.55,0.0741053650601063,0.039938559392659
