method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.933,0.289402177690089,0.54,0.0751397627637373,0.0171474504444605
cal_binning_5,1,0.887,0.39162006729058,0.54,0.118369128387302,0.027778569099828
conditional,1,0.843,0.113740616954404,0.54,0.0242451690423259,0.0190099199705655
isotonic,1,0.923,0.155827653010578,0.54,0.0440322259734306,0.0357508722333214
marginal,1,0.998,0.274375053779974,0.54,0.0242451690423259,0.0190405266235411
mondrian_10,1,0.902,0.129920992477805,0.54,0.0242451690423259,0.0190904739920352
mondrian_5,1,0.898,0.129693969354812,0.54,0.0242451690423259,0.0191867940621726
oracle,1,0.898,0.0955011193757083,0.54,0.0242451690423259,0.0190909054187636
cal_binning_10,2,0.895,0.19417472880992,0.642,0.051446116146522,0.0127065467700964
cal_binning_5,2,0.927,0.340380475122606,0.98,0.0986223770843056,0.0200349887987484
conditional,2,0.964,0.169882198013964,0.576,0.0230541649438946,0.016042859828515
isotonic,2,0.925,0.14134542401489,0.484,0.0310693055195349,0.0260158981664193
marginal,2,1,0.281386007574151,0.687,0.0230541649438946,0.0162264344913756
mondrian_10,2,0.919,0.140060679620505,0.545,0.0230541649438946,0.0160728172886503
mondrian_5,2,0.922,0.139109538659168,0.545,0.0230541649438946,0.0162646555159602
oracle,2,0.898,0.0998560148764523,0.484,0.0230541649438946,0.0162744288217119
cal_binning_10,3,0.866,0.214786519754255,0.366,0.0545640144031902,0.0375142600691058
cal_binning_5,3,0.855,0.296038089120152,0.42,0.097305483224046,0.0663416252481671
conditional,3,0.977,0.243088385776215,0.305,0.0268199377586285,0.0166896317972289
isotonic,3,0.941,0.193568885253168,0.305,0.0276540690355659,0.0130507878986135
marginal,3,0.99,0.281386007574151,0.305,0.0268199377586285,0.0166708203921126
mondrian_10,3,0.932,0.187405442846047,0.305,0.0268199377586285,0.0169214974591288
mondrian_5,3,0.927,0.185798272510218,0.305,0.0268199377586285,0.0164450884499881
oracle,3,0.896,0.142799117539318,0.305,0.0268199377586285,0.0169604087593259
cal_binning_10,4,0.928,0.366095267735179,0.771,0.0554849106885774,0.0272960377952574
cal_binning_5,4,0.937,0.406106398093065,0.771,0.0680786775734022,0.0359779118420864
conditional,4,0.87,0.311378128228381,0.573,0.0554270673866967,0.0370166970516916
isotonic,4,0.936,0.379855022442012,0.577,0.0479122104518814,0.0244015147221345
marginal,4,0.833,0.281386007574151,0.553,0.0554270673866967,0.0372864209491342
mondrian_10,4,0.926,0.357441433621992,0.603,0.0554270673866967,0.0374712978424714
mondrian_5,4,0.924,0.358307035868384,0.634,0.0554270673866967,0.0379211092969875
oracle,4,0.9,0.288052382161232,0.551,0.0554270673866967,0.0372925427767843
cal_binning_10,5,0.856,0.446568257909889,0.425,0.049173749750057,0.0419742582117974
cal_binning_5,5,0.868,0.457617925868619,0.425,0.0561950084195274,0.0495717110712503
conditional,5,0.746,0.351478103931871,0.425,0.0675929016984292,0.0662653986094555
isotonic,5,0.877,0.470431128581194,0.425,0.0510317431631198,0.044577240540497
marginal,5,0.66,0.281386007574151,0.425,0.0675929016984292,0.0668533096194548
mondrian_10,5,0.86,0.469254090764719,0.425,0.0675929016984292,0.0672677070101371
mondrian_5,5,0.849,0.450763337032932,0.425,0.0675929016984292,0.0666167475955246
oracle,5,0.893,0.463815942285364,0.425,0.0675929016984292,0.0667425063360139
cal_binning_10,marginal,0.8956,0.302205390379867,0.5488,0.0579077740223959,0.00945394070212688
cal_binning_5,marginal,0.8948,0.378352591099004,0.6272,0.0905522679934718,0.00704458126146161
conditional,marginal,0.88,0.237913486580967,0.4838,0.0435421450175135,0.03190625999648
isotonic,marginal,0.9204,0.268205622660368,0.4662,0.0413973548056329,0.0238456492494818
marginal,marginal,0.8962,0.279983816815315,0.502,0.0435421450175135,0.0318211120973417
mondrian_10,marginal,0.9078,0.256816527866214,0.4836,0.0435421450175135,0.0319666643770222
mondrian_5,marginal,0.904,0.252734430685103,0.4898,0.0435421450175135,0.0318273520308013
oracle,marginal,0.897,0.218004915247615,0.461,0.0435421450175135,0.0319650467339772
