method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.84,0.375156363684213,0.482,0.129298606967963,0.0811260878537248
cal_binning_5,1,0.825,0.418241773418674,0.482,0.141897733078279,0.0919588331583097
conditional,1,0.767,0.410501932742595,0.484,0.193724143356594,0.174026297394795
isotonic,1,0.891,0.398064838005491,0.482,0.12355436189477,0.0859738428679932
marginal,1,0.707,0.438997369177544,0.483,0.193724143356594,0.17420495238995
mondrian_10,1,0.795,0.400231887084243,0.482,0.193724143356594,0.174138582009904
mondrian_5,1,0.761,0.434990565080117,0.482,0.193724143356594,0.173996989779639
oracle,1,0.913,0.0804085258325692,0.483,0.193724143356594,0.174131745562397
cal_binning_10,2,0.927,0.313270453053313,0.79,0.0876146312917559,0.0778268982734717
cal_binning_5,2,0.927,0.364462138011364,0.79,0.109585925036723,0.102026679807976
conditional,2,0.996,0.394384168104068,0.916,0.0959783908954959,0.0886160504711693
isotonic,2,0.941,0.336384588583649,0.791,0.0800440565473953,0.0700553274547495
marginal,2,0.996,0.440722242751753,0.959,0.0959783908954959,0.0885364547996594
mondrian_10,2,0.926,0.35414397750516,0.821,0.0959783908954959,0.0883719822752859
mondrian_5,2,0.922,0.369908378800632,0.823,0.0959783908954959,0.0885454338600474
oracle,2,0.907,0.0990362859708476,0.499,0.0959783908954959,0.0886394154092726
cal_binning_10,3,0.884,0.269982175650858,0.538,0.0819029089208448,0.0743257992868467
cal_binning_5,3,0.923,0.314475757563272,0.538,0.0843399434993744,0.0769710510849235
conditional,3,0.997,0.390382078856255,0.832,0.0530586147238909,0.042681469472329
isotonic,3,0.894,0.282452745303127,0.617,0.0789165579744185,0.0713531318868155
marginal,3,1,0.440722242751753,1,0.0530586147238909,0.0428144221986231
mondrian_10,3,0.952,0.29650173728465,0.59,0.0530586147238909,0.0430749657300535
mondrian_5,3,0.964,0.305023392386609,0.665,0.0530586147238909,0.0426474194280748
oracle,3,0.911,0.134534468196302,0.307,0.0530586147238909,0.0426052235817676
cal_binning_10,4,0.912,0.302906101629244,0.677,0.0610433261235858,0.051041343004049
cal_binning_5,4,0.932,0.333053891801861,0.677,0.0761014423090383,0.0679706194742524
conditional,4,0.99,0.394678792055803,0.808,0.0398198683950229,0.0256414542214833
isotonic,4,0.921,0.305320642200344,0.755,0.0553328090576985,0.0454585128399738
marginal,4,0.999,0.440722242751753,0.85,0.0398198683950229,0.0255771119226388
mondrian_10,4,0.944,0.297563986846453,0.717,0.0398198683950229,0.0255080531136623
mondrian_5,4,0.959,0.307652824113279,0.775,0.0398198683950229,0.0255639024833885
oracle,4,0.918,0.203699329218068,0.618,0.0398198683950229,0.0260067618395851
cal_binning_10,5,0.91,0.536878014762618,0.392,0.0624096443241482,0.0336085160883149
cal_binning_5,5,0.905,0.594210088080513,0.392,0.0817535140571704,0.0418515823318916
conditional,5,0.83,0.420655572840201,0.392,0.0707174091834741,0.0524893551523367
isotonic,5,0.923,0.55910089531186,0.392,0.0555313935520538,0.0337894556511529
marginal,5,0.846,0.440722242751753,0.392,0.0707174091834741,0.0521825721579386
mondrian_10,5,0.909,0.549038004671226,0.392,0.0707174091834741,0.0508556951114238
mondrian_5,5,0.906,0.556533101105287,0.392,0.0707174091834741,0.0525417257460778
oracle,5,0.892,0.440761046248427,0.392,0.0707174091834741,0.0513604397761222
cal_binning_10,marginal,0.8946,0.359638621756049,0.5758,0.0880043081205,0.01178127453887
cal_binning_5,marginal,0.9024,0.404888729775137,0.5758,0.101717583800047,0.014874442540333
conditional,marginal,0.916,0.402120508919784,0.6864,0.105964791997317,0.0687237177377454
isotonic,marginal,0.914,0.376264741880894,0.6074,0.0825178888270476,0.0132344440380163
marginal,marginal,0.9096,0.440377268036911,0.7368,0.105964791997317,0.0688399634500744
mondrian_10,marginal,0.9052,0.379495918678346,0.6004,0.105964791997317,0.0688422443726513
mondrian_5,marginal,0.9024,0.394821652297185,0.6274,0.105964791997317,0.0689829919722177
oracle,marginal,0.9082,0.191687931093243,0.4598,0.105964791997317,0.0689577632426418
