method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.854,0.450232564653385,0.472,0.153504641140038,0.117538267488158
cal_binning_5,1,0.851,0.489867883154744,0.486,0.158503701571628,0.121504947601159
conditional,1,0.772,0.476447629904698,0.468,0.231561126863562,0.21638020333412
isotonic,1,0.824,0.398445003601191,0.51,0.144931391372213,0.114959524116917
marginal,1,0.708,0.534319971146528,0.448,0.231561126863562,0.216567217279357
mondrian_10,1,0.789,0.43624429411218,0.479,0.231561126863562,0.216400380848231
mondrian_5,1,0.776,0.484398181160231,0.476,0.231561126863562,0.216613530981857
oracle,1,0.883,0.0978214853165855,0.525,0.231561126863562,0.216206924765419
cal_binning_10,2,0.961,0.4270499963233,0.872,0.100308152087042,0.0895503558004101
cal_binning_5,2,0.963,0.448429880472041,0.741,0.114877626506355,0.105469196862042
conditional,2,0.943,0.458894277623292,0.789,0.16754872867548,0.160217316134359
isotonic,2,0.967,0.427702251895583,0.723,0.0919775623490797,0.0809305040105471
marginal,2,0.908,0.536513300861131,0.952,0.16754872867548,0.160270925105237
mondrian_10,2,0.955,0.43112570689272,0.813,0.16754872867548,0.160404785523746
mondrian_5,2,0.939,0.467743999538199,0.907,0.16754872867548,0.160197725680271
oracle,2,0.895,0.106955909813787,0.39,0.16754872867548,0.160265386278162
cal_binning_10,3,0.943,0.411452885761498,0.896,0.104890597310558,0.0967979096350817
cal_binning_5,3,0.95,0.428444209775136,0.727,0.110020986773695,0.102542169435289
conditional,3,0.97,0.411914818665743,0.858,0.113401863029372,0.107487396756031
isotonic,3,0.952,0.407402944677221,0.706,0.100789154380594,0.0924143069265036
marginal,3,0.991,0.536513300861131,0.999,0.113401863029372,0.107601074612404
mondrian_10,3,0.926,0.425135387729765,0.835,0.113401863029372,0.10756212965618
mondrian_5,3,0.953,0.459526133989123,0.929,0.113401863029372,0.107529788976808
oracle,3,0.893,0.127228533555888,0.309,0.113401863029372,0.107651402273737
cal_binning_10,4,0.906,0.380923675129491,0.836,0.117463561765451,0.112787149802106
cal_binning_5,4,0.884,0.429229093488844,0.719,0.124617978409491,0.119235824422086
conditional,4,0.971,0.376941584796557,0.863,0.0754266645599144,0.0674155757137339
isotonic,4,0.915,0.376336583740067,0.735,0.110219364292204,0.105600973392134
marginal,4,0.997,0.536513300861131,0.891,0.0754266645599144,0.0673338864965852
mondrian_10,4,0.932,0.390776246513351,0.814,0.0754266645599144,0.0675076426071989
mondrian_5,4,0.961,0.42413418234802,0.868,0.0754266645599144,0.0673712438452234
oracle,4,0.907,0.164210547186327,0.756,0.0754266645599144,0.0673693079118175
cal_binning_10,5,0.882,0.383767771968327,0.334,0.0837427885864991,0.0643510286587546
cal_binning_5,5,0.881,0.427302440319865,0.335,0.107826255543424,0.0825662372711361
conditional,5,0.866,0.309310277272136,0.334,0.0422160112628563,0.0281070406152886
isotonic,5,0.875,0.355733126612721,0.334,0.0717467076042564,0.0615252519251383
marginal,5,0.986,0.536513300861131,0.334,0.0422160112628563,0.0283363554323954
mondrian_10,5,0.917,0.365064623981382,0.334,0.0422160112628563,0.0280420399240198
mondrian_5,5,0.941,0.378600505873787,0.334,0.0422160112628563,0.0279786042550904
oracle,5,0.896,0.280676757489919,0.334,0.0422160112628563,0.0282533863768143
cal_binning_10,marginal,0.9092,0.4106853787672,0.682,0.114401032000313,0.0128521461920662
cal_binning_5,marginal,0.9058,0.444654701442126,0.6016,0.124564081453429,0.0120181729241441
conditional,marginal,0.9044,0.406701717652485,0.6624,0.142845712450325,0.0997164956213802
isotonic,marginal,0.9066,0.393123982105356,0.6016,0.10669520339598,0.0204418325297932
marginal,marginal,0.918,0.53607463491821,0.7248,0.142845712450325,0.100076052116687
mondrian_10,marginal,0.9038,0.40966925184588,0.655,0.142845712450325,0.100013720722125
mondrian_5,marginal,0.914,0.442880600581872,0.7028,0.142845712450325,0.0999945700258902
oracle,marginal,0.8948,0.155378646672501,0.4628,0.142845712450325,0.0999698519373496
