method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.875,0.341801602652471,0.4375,0.104247739678466,0.0804843067953211
cal_binning_2,1,0.8525,0.337739893647724,0.4375,0.107826601721524,0.080701546727763
conditional,1,0.8225,0.316919157308628,0.435,0.117835116131116,0.0983130325037075
isotonic,1,0.875,0.340200945916206,0.4375,0.106854409554884,0.083415686940799
marginal,1,0.8275,0.325150455894922,0.4375,0.117835116131116,0.0986040969778593
mondrian_1,1,0.7875,0.32143939817661,0.4375,0.117835116131116,0.0984879119811712
mondrian_2,1,0.79,0.321808261872184,0.4375,0.117835116131116,0.0982883121046879
oracle,1,0.915,0.0848107550057616,0.435,0.117835116131116,0.0983680962702044
cal_binning_1,2,0.9425,0.319798590551684,0.8875,0.0688610529089784,0.0659278230091921
cal_binning_2,2,0.9125,0.307499151962689,0.8775,0.074335671852574,0.0718002657412645
conditional,2,0.95,0.31898327228618,0.9125,0.0787912055906966,0.0771729492583846
isotonic,2,0.94,0.316413533755733,0.8725,0.0684077129626005,0.0654670517162175
marginal,2,0.93,0.326621422159638,0.92,0.0787912055906966,0.0764010602593005
mondrian_1,2,0.905,0.292649530840571,0.915,0.0787912055906966,0.0765318518022189
mondrian_2,2,0.9075,0.301913409215234,0.915,0.0787912055906966,0.0766372457392077
oracle,2,0.925,0.105983482258901,0.6325,0.0787912055906966,0.07647351359312
cal_binning_1,3,0.965,0.32053846249413,0.8675,0.0626379555939486,0.0565027511320998
cal_binning_2,3,0.95,0.299816324845158,0.8375,0.063224020913064,0.0558534142115742
conditional,3,0.9675,0.322578811423836,0.9325,0.0618273685152016,0.0536220460184417
isotonic,3,0.96,0.319520618730625,0.7925,0.0621602900103444,0.0555577742172142
marginal,3,0.98,0.326621422159638,0.9575,0.0618273685152016,0.0530062425295855
mondrian_1,3,0.96,0.304635161313614,0.935,0.0618273685152016,0.0539200893784363
mondrian_2,3,0.95,0.302771542465774,0.935,0.0618273685152016,0.0540466589297369
oracle,3,0.8875,0.135997295223647,0.345,0.0618273685152016,0.0533115364806884
cal_binning_1,4,0.925,0.323042957421564,0.765,0.0685918515087612,0.0638399604196721
cal_binning_2,4,0.9125,0.308334903285475,0.7675,0.0695849275798531,0.0627832767370267
conditional,4,0.9575,0.326702194971945,0.8425,0.0569254678077981,0.0500722468002137
isotonic,4,0.92,0.317258144875904,0.7025,0.0687580710243479,0.0633182338180937
marginal,4,0.9525,0.326621422159638,0.8725,0.0569254678077981,0.0502198133034356
mondrian_1,4,0.9375,0.31397004818279,0.86,0.0569254678077981,0.0502970191273958
mondrian_2,4,0.9275,0.295550448771853,0.86,0.0569254678077981,0.0502891274037876
oracle,4,0.915,0.188450183933734,0.5375,0.0569254678077981,0.0500011674996548
cal_binning_1,5,0.92,0.424086896344171,0.42,0.064381198065256,0.0529043632272919
cal_binning_2,5,0.8925,0.416760100757691,0.415,0.0677676988277155,0.056381313221632
conditional,5,0.8925,0.356247525085322,0.4175,0.0538181795306375,0.0407419995614316
isotonic,5,0.9025,0.412821918886533,0.4225,0.0660252712442377,0.0583860297630319
marginal,5,0.8625,0.326621422159638,0.415,0.0538181795306375,0.0427627806430314
mondrian_1,5,0.9225,0.419272838409723,0.415,0.0538181795306375,0.0428434698288152
mondrian_2,5,0.8975,0.40939524083031,0.415,0.0538181795306375,0.0436985415144172
oracle,5,0.8975,0.331250210817316,0.4175,0.0538181795306375,0.0436448086667742
cal_binning_1,marginal,0.9255,0.345853701892804,0.6755,0.0753428564291392,0.013339573354166
cal_binning_2,marginal,0.904,0.334030074899747,0.667,0.0782101887476288,0.0138238692994644
conditional,marginal,0.918,0.328286192215182,0.708,0.0775276692577716,0.0255863943477968
isotonic,marginal,0.9195,0.341243032433,0.6455,0.0762212443641941,0.0196371736442583
marginal,marginal,0.9105,0.326327228906695,0.7205,0.0775276692577716,0.0250102210410861
mondrian_1,marginal,0.9025,0.330393395384662,0.7125,0.0775276692577716,0.0249576574708234
mondrian_2,marginal,0.8945,0.326287780631071,0.7125,0.0775276692577716,0.0248770876365073
oracle,marginal,0.908,0.169298385447872,0.4735,0.0775276692577716,0.0255856899913643
