method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.925,0.20884605615603,0.465,0.0638556249654715,0.0270068722861509
cal_binning_5,1,0.955,0.410829180959129,0.465,0.107026820768153,0.0501097818692769
conditional,1,0.855,0.0824838560629634,0.465,0.0153402791348011,0.0128136505001125
isotonic,1,0.89,0.0918289032702746,0.465,0.0336110576088517,0.0310817935665752
marginal,1,1,0.393594528005545,0.465,0.0153402791348011,0.0130050348520645
mondrian_10,1,0.87,0.0688046866125072,0.465,0.0153402791348011,0.0130986071306297
mondrian_5,1,0.875,0.0686358590500612,0.465,0.0153402791348011,0.0130347839456135
oracle,1,0.925,0.0594295588215697,0.465,0.0153402791348011,0.013375257587738
cal_binning_10,2,0.875,0.181534871508476,0.575,0.0564106812163097,0.0340566782727419
cal_binning_5,2,0.875,0.337600908281713,0.88,0.111988609618807,0.0735126154562085
conditional,2,1,0.190415439986534,0.415,0.0113985843538575,0.00789970495627764
isotonic,2,0.96,0.110737723863168,0.385,0.0254848179654145,0.023006336305503
marginal,2,1,0.410519589963228,0.675,0.0113985843538575,0.00840823836592173
mondrian_10,2,0.91,0.0795828155684034,0.36,0.0113985843538575,0.00794407962538853
mondrian_5,2,0.915,0.0846432353782418,0.385,0.0113985843538575,0.00770533202400244
oracle,2,0.93,0.0719179055666165,0.36,0.0113985843538575,0.00817550307889211
cal_binning_10,3,0.89,0.236509511758071,0.265,0.0464929468297977,0.0178961974697189
cal_binning_5,3,0.95,0.361151266513955,0.265,0.084438245938346,0.00667198011575492
conditional,3,1,0.314628567353518,0.265,0.0112801529709603,0
isotonic,3,0.905,0.189706065057101,0.265,0.0180803819224667,0.0151620350635893
marginal,3,1,0.410519589963228,0.315,0.0112801529709603,0.00554713078764161
mondrian_10,3,0.9,0.185757542275918,0.265,0.0112801529709603,0.00703567110004431
mondrian_5,3,0.92,0.188900294051914,0.265,0.0112801529709603,0.00662120048272068
oracle,3,0.915,0.169574522766649,0.265,0.0112801529709603,0.00159382323232764
cal_binning_10,4,0.94,0.485120011933185,0.73,0.0374871838909561,0.0301983729682672
cal_binning_5,4,0.925,0.528195108148788,0.73,0.0695459869864821,0.0466446858951596
conditional,4,0.905,0.415858713294022,0.765,0.00667646673587711,0.028187213461852
isotonic,4,0.95,0.531143070878368,0.73,0.0197230748145153,0.00346075463003702
marginal,4,0.88,0.410519589963228,0.765,0.00667646673587711,0.0309160589385897
mondrian_10,4,0.935,0.476948898916598,0.73,0.00667646673587711,0.0357781477785789
mondrian_5,4,0.925,0.466958356844306,0.73,0.00667646673587711,0.0308052137913759
oracle,4,0.89,0.435708180642799,0.685,0.00667646673587711,0.0270615569634419
cal_binning_10,5,0.855,0.704286461036094,0.4,0.033128363198565,0.0343535066870567
cal_binning_5,5,0.85,0.691953619319432,0.4,0.0276516942325355,0.0191157573747562
conditional,5,0.73,0.483309084686805,0.4,0.00163296162211791,0.0340753755116811
isotonic,5,0.855,0.717019964721585,0.4,0.0192062144195846,0.0289772911386174
marginal,5,0.66,0.410519589963228,0.4,0.00163296162211791,0.0374592191560421
mondrian_10,5,0.85,0.69086205247668,0.4,0.00163296162211791,0.0461960801753187
mondrian_5,5,0.855,0.700617787560717,0.4,0.00163296162211791,0.0342971886702731
oracle,5,0.905,0.790995116037087,0.4,0.00163296162211791,0.0358161876486499
cal_binning_10,marginal,0.897,0.363259382478371,0.487,0.0488345723933933,0.0212950883654399
cal_binning_5,marginal,0.911,0.465946016644603,0.548,0.0857056204984131,0.0230298378523891
conditional,marginal,0.898,0.297339132276768,0.462,0.0103897594966242,0.0267431520821583
isotonic,marginal,0.912,0.328087145558099,0.449,0.023933063753929,0.0241716747664436
marginal,marginal,0.908,0.407134577571691,0.524,0.0103897594966242,0.022714022849073
mondrian_10,marginal,0.893,0.300391199170021,0.444,0.0103897594966242,0.0241011613574058
mondrian_5,marginal,0.898,0.301951106577048,0.449,0.0103897594966242,0.0233684554616517
oracle,marginal,0.913,0.305525056766944,0.435,0.0103897594966242,0.0253950922496133
