method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.944,0.147560259378717,0.438,0.0352434323007878,0.0148987853895071
cal_binning_2,1,0.924,0.218579062524311,0.438,0.0607863219419917,0.0206911094155927
conditional,1,0.91,0.125599041965042,0.438,0.0405475859120184,0.0374996377935131
isotonic,1,0.914,0.127614474755112,0.438,0.0327003224456816,0.0227249292316106
marginal,1,0.944,0.223387944552043,0.438,0.0405475859120184,0.0374446410753515
mondrian_1,1,0.944,0.12692429947132,0.438,0.0405475859120184,0.0375177394367198
mondrian_2,1,0.884,0.131084221779985,0.438,0.0405475859120184,0.0375468780658491
oracle,1,0.9,0.106475820703788,0.438,0.0405475859120184,0.0373884385272506
cal_binning_1,2,0.872,0.10717496941354,0.676,0.0152782582067952,0.00430872717439346
cal_binning_2,2,0.9,0.137665625861612,0.676,0.0248440035891025,0.0114278849621715
conditional,2,0.984,0.155579267916857,0.698,0.00809878443431572,0.00253284264145042
isotonic,2,0.838,0.105669886613797,0.65,0.012827455061433,0.0103694089473899
marginal,2,0.998,0.235069406147491,0.886,0.00809878443431572,0.00343997480423866
mondrian_1,2,0.872,0.099201579524667,0.54,0.00809878443431572,0.00331003482381701
mondrian_2,2,0.89,0.102980600332561,0.54,0.00809878443431572,0.00342217952662347
oracle,2,0.898,0.105340017810376,0.58,0.00809878443431572,0.0023166978336088
cal_binning_1,3,0.888,0.152899782951274,0.32,0.0127231559930554,0.00852835251925849
cal_binning_2,3,0.87,0.153717761382779,0.32,0.0189766735786729,0.00961818720805548
conditional,3,0.958,0.188521581990306,0.268,0.00926395253527492,0.00963923479708997
isotonic,3,0.89,0.162965171668412,0.298,0.0110938183859439,0.0100664341834745
marginal,3,0.988,0.235069406147491,0.268,0.00926395253527492,0.00937908940848234
mondrian_1,3,0.902,0.152992867776749,0.274,0.00926395253527492,0.0101353293929705
mondrian_2,3,0.9,0.150238712686238,0.268,0.00926395253527492,0.00930407959326551
oracle,3,0.892,0.145238802658475,0.268,0.00926395253527492,0.00942455690725761
cal_binning_1,4,0.934,0.239206950724386,0.658,0.0161639654337481,0.00344894008606532
cal_binning_2,4,0.95,0.24947313458983,0.86,0.0236618204847171,0.00438978197954322
conditional,4,0.934,0.23651822093259,0.684,0.0101073062748281,0.0147430952139361
isotonic,4,0.942,0.262243684563592,0.764,0.0141783470842702,0.0067030975573819
marginal,4,0.916,0.235069406147491,0.766,0.0101073062748281,0.0144859821266959
mondrian_1,4,0.91,0.2303579373584,0.702,0.0101073062748281,0.014036733266753
mondrian_2,4,0.93,0.243050116556266,0.67,0.0101073062748281,0.0144210183059277
oracle,4,0.896,0.220504974922472,0.632,0.0101073062748281,0.0146192045752491
cal_binning_1,5,0.924,0.497261075493992,0.382,0.0326240246735587,0.0148623372340958
cal_binning_2,5,0.908,0.478385941062627,0.382,0.0454553317601586,0.00660371163993943
conditional,5,0.81,0.338860926798666,0.382,0.0199409378837818,0.0175662507315384
isotonic,5,0.932,0.499182838061699,0.382,0.0255259573819299,0.0203487439599711
marginal,5,0.632,0.235069406147491,0.382,0.0199409378837818,0.0207413667056462
mondrian_1,5,0.916,0.475315099882691,0.382,0.0199409378837818,0.0188899378912144
mondrian_2,5,0.9,0.460906106868803,0.382,0.0199409378837818,0.0129275755503295
oracle,5,0.91,0.471199084348169,0.382,0.0199409378837818,0.0197262257005449
cal_binning_1,marginal,0.9124,0.228820607592382,0.4948,0.0243433939993655,0.00961044192787661
cal_binning_2,marginal,0.9104,0.247564305084232,0.5352,0.0382057182205998,0.00603510795410833
conditional,marginal,0.9192,0.209015807920692,0.494,0.0214257624975163,0.0202149863763988
isotonic,marginal,0.9032,0.231535211132522,0.5064,0.0210215485827808,0.0153944694170974
marginal,marginal,0.8956,0.232733113828401,0.548,0.0214257624975163,0.0204223152672346
mondrian_1,marginal,0.9088,0.216958356802765,0.4672,0.0214257624975163,0.0191803159519877
mondrian_2,marginal,0.9008,0.217651951644771,0.4596,0.0214257624975163,0.0204268416068159
oracle,marginal,0.8992,0.209751740088656,0.46,0.0214257624975163,0.0203191252867406
