method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.915,0.111496648023119,0.46,0.0270746422839068,0.0143284514218158
binning2,1,0.875,0.156224594412607,0.46,0.0430237801889573,0.013207684368288
conditional,1,0.995,0.136178218787084,0.46,0.0150750396780401,0.00954788844971969
isotonic,1,0.92,0.100406940602857,0.46,0.0197901537461304,0.0162290427973417
marginal,1,1,0.129017495076841,0.46,0.0150750396780401,0.00957650067205398
binning,2,0.895,0.0958282433714719,0.87,0.014944797556956,0.0121941113812725
binning2,2,0.88,0.100042623309238,0.87,0.0246706849477578,0.0204658240089813
conditional,2,0.985,0.13449132144114,0.875,0.0126215954978184,0.0105572322548783
isotonic,2,0.89,0.0923494795893433,0.88,0.0130413083432707,0.0105778745262708
marginal,2,0.99,0.129017495076841,0.91,0.0126215954978184,0.0107622945713817
binning,3,0.89,0.113466440529566,0.44,0.0134414396930869,0.00901724338308451
binning2,3,0.88,0.112208466409274,0.44,0.0196765747206651,0.0147379433821275
conditional,3,0.955,0.133545471237895,0.62,0.0119504264716919,0.00557113204321492
isotonic,3,0.925,0.118714870977532,0.46,0.0126151670929784,0.00376776104773148
marginal,3,0.96,0.129017495076841,0.525,0.0119504264716919,0.00597884209411672
binning,4,0.915,0.144168373543609,0.785,0.0177769318539224,0.0176051691669034
binning2,4,0.905,0.155464387408169,0.785,0.0269063898993609,0.0252727073433038
conditional,4,0.885,0.135936966499782,0.775,0.0107014967678034,0.00589774854445891
isotonic,4,0.925,0.154437430501836,0.765,0.0156114305504183,0.0160562293049512
marginal,4,0.88,0.129017495076841,0.765,0.0107014967678034,0.00581243153451006
binning,5,0.89,0.202246871130744,0.41,0.0292732190906234,0
binning2,5,0.87,0.230356799765499,0.41,0.0426322672472529,0.007320753219809
conditional,5,0.705,0.140994553169854,0.41,0.0160150033165654,0.00681621325507278
isotonic,5,0.895,0.21100608871098,0.41,0.0190620073813593,0
marginal,5,0.68,0.129017495076841,0.41,0.0160150033165654,0
binning,marginal,0.901,0.133441315319702,0.593,0.0214941675433567,0.00573314014635642
binning2,marginal,0.882,0.150859374260957,0.593,0.0328277930367997,0.00374109582114442
conditional,marginal,0.905,0.136229306227151,0.628,0.0134192142196275,0.00565571396872367
isotonic,marginal,0.911,0.13538296207651,0.595,0.0162969030102105,0.00761913085408313
marginal,marginal,0.902,0.129017495076841,0.614,0.0134192142196275,0.00437477643961366
