method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.8,0.488218445285184,0.39,0.198087831756168,0.175399034057903
binning2,1,0.81,0.508267927603304,0.39,0.201949153990218,0.180217722371756
conditional,1,0.735,0.589535356556818,0.41,0.302260646843396,0.290153169748035
isotonic,1,0.815,0.469360193413363,0.39,0.194692738118515,0.173694274369729
marginal,1,0.655,0.647693406521034,0.39,0.302260646843396,0.288631717614595
binning,2,0.985,0.493582089366938,0.965,0.103658932554903,0.0982625964202273
binning2,2,0.97,0.512483874768427,0.965,0.100038969841185,0.0942694573939393
conditional,2,0.985,0.5047981927146,0.91,0.199407465015708,0.195766842603412
isotonic,2,0.98,0.49055137216453,0.965,0.103798353404322,0.0980862529507488
marginal,2,0.925,0.647693406521034,0.965,0.199407465015708,0.195930239721001
binning,3,0.99,0.513702775126034,1,0.0987181883314067,0.0949208748159154
binning2,3,0.985,0.526979478727234,1,0.104933632883818,0.101299086805911
conditional,3,0.98,0.496981776820849,0.95,0.162011749469428,0.157925675672628
isotonic,3,0.98,0.512346550726081,1,0.094145399779265,0.0899062455081055
marginal,3,0.995,0.647693406521034,1,0.162011749469428,0.157934014344504
binning,4,0.965,0.536903238084759,0.81,0.107712530131334,0.104803925230381
binning2,4,0.965,0.536696579430449,0.81,0.111399214736937,0.108596323158583
conditional,4,0.97,0.450247144419913,0.805,0.102847463214051,0.0933532373004834
isotonic,4,0.95,0.539016899279755,0.81,0.105793404734254,0.103215542213266
marginal,4,1,0.647693406521034,0.81,0.102847463214051,0.0936679612827424
binning,5,0.855,0.539223853809216,0.415,0.168910088239601,0.142197307821654
binning2,5,0.86,0.522089343579735,0.415,0.172344776161149,0.144916188206172
conditional,5,0.86,0.389968028880469,0.415,0.0739294051157819,0.03474153893547
isotonic,5,0.865,0.54410248233998,0.415,0.167137657330758,0.140567004785797
marginal,5,0.985,0.647693406521034,0.415,0.0739294051157819,0.0357476376763582
binning,marginal,0.919,0.514326080334426,0.716,0.14132363648882,0.0173160579674068
binning2,marginal,0.918,0.52130344082183,0.716,0.144162984506071,0.00711383538270879
conditional,marginal,0.906,0.48630609987853,0.698,0.186234153865859,0.12764862118087
isotonic,marginal,0.918,0.511075499584742,0.716,0.13904672432561,0.0135213320195109
marginal,marginal,0.912,0.647693406521034,0.716,0.186234153865859,0.127836647316877
