method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.69,0.279730346559862,0.395,0.125851740373286,0.117067636461537
binning2,1,0.675,0.276874538991966,0.395,0.126391126225516,0.117859384092825
conditional,1,0.715,0.321227840117152,0.395,0.146648423997613,0.139675685786519
isotonic,1,0.73,0.28046524805758,0.395,0.116909343287019,0.107471892006757
marginal,1,0.61,0.301008963573106,0.395,0.146648423997613,0.139551620528516
binning,2,1,0.287888461280235,0.935,0.0546411577736713,0.0493585564910684
binning2,2,1,0.286447873624486,0.935,0.0541860284679552,0.0487823545366127
conditional,2,1,0.3174988576117,0.935,0.0795831590815373,0.0745438751133035
isotonic,2,1,0.288397632324531,0.935,0.0576004038142792,0.0531762140372747
marginal,2,0.99,0.301008963573106,0.935,0.0795831590815373,0.0744880075136847
binning,3,0.975,0.288422482078376,0.975,0.0357979124532962,0.0359948090750675
binning2,3,0.97,0.286660614394098,0.975,0.0355351946621622,0.0359945518137639
conditional,3,0.985,0.302236155551372,0.975,0.0385351188773887,0.0377552971410601
isotonic,3,0.975,0.288037288991973,0.975,0.0371407569365656,0.036308647237956
marginal,3,1,0.301008963573106,0.975,0.0385351188773887,0.0376233732261613
binning,4,0.96,0.290522701051991,0.875,0.0547203926596639,0.0520317284248038
binning2,4,0.965,0.289851725938271,0.875,0.0544302184562275,0.0518876995937672
conditional,4,0.985,0.303821976908297,0.875,0.0276807236073466,0.0231214670626343
isotonic,4,0.965,0.29051599211108,0.875,0.0535829711807767,0.0494304538121443
marginal,4,1,0.301008963573106,0.875,0.0276807236073466,0.0231766858355805
binning,5,0.675,0.291924250837847,0.445,0.130744213932376,0.122708921047199
binning2,5,0.675,0.291553652095163,0.445,0.131026816265999,0.122970024679096
conditional,5,0.81,0.29058120702776,0.445,0.0968682450687484,0.0867392084008901
isotonic,5,0.72,0.292710030790513,0.445,0.125257916940171,0.117252375697678
marginal,5,0.84,0.301008963573106,0.445,0.0968682450687484,0.0865889872056339
binning,marginal,0.86,0.287697648361662,0.725,0.089659553939855,0.00666751944205395
binning2,marginal,0.857,0.286277681008797,0.725,0.0897822563665657,0.00657256638175094
conditional,marginal,0.899,0.307073207443256,0.725,0.0888525455115394,0.0300171920318639
isotonic,marginal,0.878,0.288025238455135,0.725,0.0859368575757129,0.0137154620516854
marginal,marginal,0.888,0.301008963573106,0.725,0.0888525455115394,0.0300882392164131
