method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.945,0.628550151674098,0.47,0.173225031399318,0.160237917112604
binning2,1,0.945,0.628550151674098,0.47,0.173225031399318,0.160093976250583
conditional,1,0.995,0.156174462061731,0.505,0.0129685370577007,0.005272711647334
isotonic,1,0.96,0.134380086628483,0.63,0.0385516679583497,0.035150156942524
marginal,1,1,0.181377348339398,0.48,0.0129685370577007,0.00544616085970242
binning,2,0.96,0.262656711743092,0.405,0.0824099645442207,0.0785006543229645
binning2,2,0.96,0.262656711743092,0.405,0.0824099645442207,0.0785235301881706
conditional,2,1,1.15727047712206,0.405,0.0129598617215464,0.00495847860823057
isotonic,2,0.98,0.0715625499880161,0.4,0.0171937866756509,0.0122719069784697
marginal,2,1,0.181377348339398,0.41,0.0129598617215464,0.00516897831490111
binning,3,0.945,0.251719378414668,0.735,0.082044043928941,0.0800737265104789
binning2,3,0.945,0.251719378414668,0.735,0.082044043928941,0.0801231467829999
conditional,3,1,0.173395609364217,0.275,0.00947694189698448,0.0039468709298594
isotonic,3,0.985,0.0851172417801743,0.275,0.0123945615423575,0.0078784202712657
marginal,3,1,0.181377348339398,0.275,0.00947694189698448,0.00386749064998103
binning,4,0.96,0.337036744768292,0.89,0.102299758039413,0.100557694736591
binning2,4,0.96,0.337036744768292,0.89,0.102299758039413,0.100503743915218
conditional,4,0.965,0.182531644806677,0.62,0.010516717583676,0
isotonic,4,0.965,0.156670434279872,0.58,0.0143913448946064,0.0095031132016396
marginal,4,0.98,0.181377348339398,0.6,0.010516717583676,0.00214589552163037
binning,5,0.93,0.459155898693903,0.345,0.0857127577259818,0.0816187443266536
binning2,5,0.93,0.459155898693903,0.345,0.0857127577259818,0.0818714479269025
conditional,5,0.655,0.192110293445914,0.345,0.0186919064611063,0
isotonic,5,0.885,0.363022993225121,0.345,0.0283295146025865,0.0276412909430526
marginal,5,0.63,0.181377348339398,0.345,0.0186919064611063,0.00447021861047413
binning,marginal,0.948,0.387823777058811,0.569,0.110762318714989,0.104072625022031
binning2,marginal,0.948,0.387823777058811,0.569,0.110762318714989,0.104144868814224
conditional,marginal,0.923,0.372296497360119,0.43,0.01331121416598,0.00257776261938671
isotonic,marginal,0.955,0.162150661180334,0.446,0.0242699598843492,0.0206166418569503
marginal,marginal,0.922,0.181377348339398,0.422,0.01331121416598,0
